"","symbol","date","returns"
"115","NFLX",2016-06-16,0.0121964257906839
"116","NFLX",2016-06-17,-0.0103730613920148
"117","NFLX",2016-06-20,-0.00688188481361196
"118","NFLX",2016-06-21,-0.0299574084235371
"119","NFLX",2016-06-22,-0.0107703706071078
"120","NFLX",2016-06-23,0.0183313183350446
"121","NFLX",2016-06-24,-0.0351298479105455
"122","NFLX",2016-06-27,-0.0351650828773162
"123","NFLX",2016-06-28,0.0309386960989406
"124","NFLX",2016-06-29,0.0351255765019258
"125","NFLX",2016-06-30,0.00461239851992978
"126","NFLX",2016-07-01,0.0567336557695566
"127","NFLX",2016-07-05,0.0128272062237964
"128","NFLX",2016-07-06,-0.0338066169418194
"129","NFLX",2016-07-07,0.00528541237389879
"130","NFLX",2016-07-08,0.0206098847657179
"131","NFLX",2016-07-11,-0.0246239444595907
"132","NFLX",2016-07-12,0.0137319428273357
"133","NFLX",2016-07-13,0.00479315406071534
"134","NFLX",2016-07-14,0.0164886135020221
"135","NFLX",2016-07-15,0.00377476036853985
"136","NFLX",2016-07-18,0.00426871637634618
"137","NFLX",2016-07-19,-0.131262040912095
"138","NFLX",2016-07-20,0.0241147261936032
"139","NFLX",2016-07-21,-0.0218405859701701
"140","NFLX",2016-07-22,-0.00116291431940718
"141","NFLX",2016-07-25,0.0206078125580138
"142","NFLX",2016-07-26,0.0427789165969008
"143","NFLX",2016-07-27,0.00689199182181421
"144","NFLX",2016-07-28,-0.00423727722471456
"145","NFLX",2016-07-29,-0.00436445162325261
"146","NFLX",2016-08-01,0.0341918136986301
"147","NFLX",2016-08-02,-0.00858328890802307
"148","NFLX",2016-08-03,-0.00491663114400653
"149","NFLX",2016-08-04,0.00365203015364202
"150","NFLX",2016-08-05,0.0384203437838111
"151","NFLX",2016-08-08,-0.0197876741192176
"152","NFLX",2016-08-09,-0.0117758699213976
"153","NFLX",2016-08-10,-0.000638344518317679
"154","NFLX",2016-08-11,0.0208665921430853
"155","NFLX",2016-08-12,0.00730000007612897
"156","NFLX",2016-08-15,-0.0132518692722589
"157","NFLX",2016-08-16,-0.00199344249278022
"158","NFLX",2016-08-17,0.0131412947915908
"159","NFLX",2016-08-18,-0.0021790909355891
"160","NFLX",2016-08-19,-0.00301581726223721
"161","NFLX",2016-08-22,-0.00636279316690957
"162","NFLX",2016-08-23,0.0071383580277482
"163","NFLX",2016-08-24,-0.00792163835894022
"164","NFLX",2016-08-25,0.0224837150661903
"165","NFLX",2016-08-26,0.00267161939991789
"166","NFLX",2016-08-29,-0.0028694301522969
"167","NFLX",2016-08-30,0.00154156213129819
"168","NFLX",2016-08-31,0
"169","NFLX",2016-09-01,-0.00071831710779835
"170","NFLX",2016-09-02,0
"171","NFLX",2016-09-06,0.0278291136114945
"172","NFLX",2016-09-07,-0.00939148803642675
"173","NFLX",2016-09-08,0.00514374170158871
"174","NFLX",2016-09-09,-0.0317078454060669
"175","NFLX",2016-09-12,0.0264249015544042
"176","NFLX",2016-09-13,-0.0298839667879667
"177","NFLX",2016-09-14,0.00957442021331745
"178","NFLX",2016-09-15,0.00340164924437381
"179","NFLX",2016-09-16,0.0219848683782564
"180","NFLX",2016-09-19,-0.0142742758059627
"181","NFLX",2016-09-20,0.00193760966627798
"182","NFLX",2016-09-21,-0.0343002849872773
"183","NFLX",2016-09-22,0.0100127005695414
"184","NFLX",2016-09-23,0.0011478659887747
"185","NFLX",2016-09-26,-0.0143840313866161
"186","NFLX",2016-09-27,0.0265440149438243
"187","NFLX",2016-09-28,0.00422378695786541
"188","NFLX",2016-09-29,-0.00830944783618837
"189","NFLX",2016-09-30,0.0194476573796971
"190","NFLX",2016-10-03,0.041400242270921
"191","NFLX",2016-10-04,-0.00282569432404844
"192","NFLX",2016-10-05,0.0384991513972699
"193","NFLX",2016-10-06,-0.0113850113980525
"194","NFLX",2016-10-07,-0.00237936613686118
"195","NFLX",2016-10-10,-0.0142148254149972
"196","NFLX",2016-10-11,-0.0265170419719918
"197","NFLX",2016-10-12,-0.0108360278690139
"198","NFLX",2016-10-13,0.00733671356783927
"199","NFLX",2016-10-14,0.0123715251210759
"200","NFLX",2016-10-17,-0.016458046551118
"201","NFLX",2016-10-18,0.190280535362308
"202","NFLX",2016-10-19,0.0259281250448007
"203","NFLX",2016-10-20,0.0121440466363163
"204","NFLX",2016-10-21,0.03364411890789
"205","NFLX",2016-10-24,-0.00133331764705891
"206","NFLX",2016-10-25,-0.00643995906008066
"207","NFLX",2016-10-26,0.00363606823751361
"208","NFLX",2016-10-27,-0.00393793806459841
"209","NFLX",2016-10-28,0.000790693438833756
"210","NFLX",2016-10-31,-0.0134312791340759
"211","NFLX",2016-11-01,-0.012573075696971
"212","NFLX",2016-11-02,-0.00778594466052041
"213","NFLX",2016-11-03,-0.00163476382654126
"214","NFLX",2016-11-04,-0.000900605869499027
"215","NFLX",2016-11-07,0.0208965256158036
"216","NFLX",2016-11-08,-0.00192652108000446
"217","NFLX",2016-11-09,-0.0172912503551954
"218","NFLX",2016-11-10,-0.0554055478287004
"219","NFLX",2016-11-11,-0.00554495764243557
"220","NFLX",2016-11-14,-0.0121972644380316
"221","NFLX",2016-11-15,0.00185216974383939
"222","NFLX",2016-11-16,0.0140858003023436
"223","NFLX",2016-11-17,-0.00138903548243707
"224","NFLX",2016-11-18,0.00156480919381718
"225","NFLX",2016-11-21,0.0238694559835904
"226","NFLX",2016-11-22,0.000678212959293045
"227","NFLX",2016-11-23,-0.00296508808060747
"228","NFLX",2016-11-25,-0.00237911458273243
"229","NFLX",2016-11-28,-0.00408827172853166
"230","NFLX",2016-11-29,0.00496024972205578
"231","NFLX",2016-11-30,-0.00434007311139351
"232","NFLX",2016-12-01,0.00188035042735035
"233","NFLX",2016-12-02,0.0306261471538463
"234","NFLX",2016-12-05,-0.0136577603452985
"235","NFLX",2016-12-06,0.0454011062302415
"236","NFLX",2016-12-07,0.00658263626876465
"237","NFLX",2016-12-08,-0.0171465110227811
"238","NFLX",2016-12-09,-0.0029211376650623
"239","NFLX",2016-12-12,-0.000406860361495731
"240","NFLX",2016-12-13,0.00773424232297915
"241","NFLX",2016-12-14,-0.00274678464006128
"242","NFLX",2016-12-15,0.012637702322785
"243","NFLX",2016-12-16,-0.00623999200000003
"244","NFLX",2016-12-19,0.00990175487118217
"245","NFLX",2016-12-20,-0.00263048232675522
"246","NFLX",2016-12-21,0.0110293875232723
"247","NFLX",2016-12-22,-0.00727271146245068
"248","NFLX",2016-12-23,7.95827348369915e-05
"249","NFLX",2016-12-27,0.0219763523202916
"250","NFLX",2016-12-28,-0.019166395675899
"251","NFLX",2016-12-29,-0.00444830411032104
"252","NFLX",2016-12-30,-0.0122077633095385
"253","NFLX",2017-01-03,0.0298060978237618
"254","NFLX",2017-01-04,0.0150600520050208
"255","NFLX",2017-01-05,0.0185456605039593
"256","NFLX",2017-01-06,-0.00561407337249187
"257","NFLX",2017-01-09,-0.00091561756001135
"258","NFLX",2017-01-10,-0.00809467754321525
"259","NFLX",2017-01-11,0.0046962892039133
"260","NFLX",2017-01-12,-0.0101149961685824
"261","NFLX",2017-01-13,0.034989969383262
"262","NFLX",2017-01-17,-0.0060583247432684
"263","NFLX",2017-01-18,0.00278422757757735
"264","NFLX",2017-01-19,0.0386463244276722
"265","NFLX",2017-01-20,0.00137274759416961
"266","NFLX",2017-01-23,-0.00873020885727827
"267","NFLX",2017-01-24,0.0197976710080625
"268","NFLX",2017-01-25,-0.0042109556476273
"269","NFLX",2017-01-26,-0.00401373985052356
"270","NFLX",2017-01-27,0.0251150678194771
"271","NFLX",2017-01-30,-0.00863458073642498
"272","NFLX",2017-01-31,-0.00361134397669349
"273","NFLX",2017-02-01,0.00049742020125132
"274","NFLX",2017-02-02,-0.0112231993978066
"275","NFLX",2017-02-03,0.00754312516256728
"276","NFLX",2017-02-06,0.0051336969696969
"277","NFLX",2017-02-07,0.0214939276335822
"278","NFLX",2017-02-08,0.00513892361111101
"279","NFLX",2017-02-09,-0.00414540541158614
"280","NFLX",2017-02-10,0.00471769116635001
"281","NFLX",2017-02-13,-0.0111863687453074
"282","NFLX",2017-02-14,-0.0166200422476265
"283","NFLX",2017-02-15,0.0102968110206101
"284","NFLX",2017-02-16,-0.00182757427911506
"285","NFLX",2017-02-17,0.00147881140338035
"286","NFLX",2017-02-21,0.0026719518867111
"287","NFLX",2017-02-22,0.00883586919344181
"288","NFLX",2017-02-23,-0.00750731261290627
"289","NFLX",2017-02-24,0.0032917845867193
"290","NFLX",2017-02-27,0.00111695636998244
"291","NFLX",2017-02-28,-0.00892545125373523
"292","NFLX",2017-03-01,0.00365854486531525
"293","NFLX",2017-03-02,-0.0218716798543993
"294","NFLX",2017-03-03,-0.00279509784845633
"295","NFLX",2017-03-06,0.020123638207012
"296","NFLX",2017-03-07,-0.00359313084975155
"297","NFLX",2017-03-08,-0.00784830697120942
"298","NFLX",2017-03-09,0.0014965221602361
"299","NFLX",2017-03-10,0.00256173060956177
"300","NFLX",2017-03-13,0.0186670808337503
"301","NFLX",2017-03-14,-0.00229934497493467
"302","NFLX",2017-03-15,0.0143864653343604
"303","NFLX",2017-03-16,-0.00592083304647173
"304","NFLX",2017-03-17,0.00498650879552964
"305","NFLX",2017-03-20,0.00496176000991144
"306","NFLX",2017-03-21,-0.0233834187288842
"307","NFLX",2017-03-22,0.00161491365840361
"308","NFLX",2017-03-23,-0.00567821965698767
"309","NFLX",2017-03-24,0.00126909197036351
"310","NFLX",2017-03-27,0.0143641314078544
"311","NFLX",2017-03-28,0.00770512297244363
"312","NFLX",2017-03-29,0.00895503904326023
"313","NFLX",2017-03-30,0.0108554447268694
"314","NFLX",2017-03-31,-0.00168850468308124
"315","NFLX",2017-04-03,-0.00602124356973477
"316","NFLX",2017-04-04,-0.00966511039565898
"317","NFLX",2017-04-05,-0.0129209965635739
"318","NFLX",2017-04-06,0.000835607883150402
"319","NFLX",2017-04-07,-0.00438294126955108
"320","NFLX",2017-04-10,0.00517088250177555
"321","NFLX",2017-04-11,0.00347584274692347
"322","NFLX",2017-04-12,-0.00360238294690474
"323","NFLX",2017-04-13,-0.00632694144021506
"324","NFLX",2017-04-17,0.030296683883245
"325","NFLX",2017-04-18,-0.0264176502546688
"326","NFLX",2017-04-19,-0.0251116488203708
"327","NFLX",2017-04-20,0.0101602608099691
"328","NFLX",2017-04-21,0.011970548829819
"329","NFLX",2017-04-24,0.00671944448517703
"330","NFLX",2017-04-25,0.0579156078993865
"331","NFLX",2017-04-26,-0.0130783776793276
"332","NFLX",2017-04-27,0.0193780651179074
"333","NFLX",2017-04-28,-0.00574866075583147
"334","NFLX",2017-05-01,0.0206965115774609
"335","NFLX",2017-05-02,0.00708072711628982
"336","NFLX",2017-05-03,-0.00549697038345087
"337","NFLX",2017-05-04,0.0106690921182362
"338","NFLX",2017-05-05,-0.00413350715421301
"339","NFLX",2017-05-08,-0.001404859460861
"340","NFLX",2017-05-09,0.00690626656521709
"341","NFLX",2017-05-10,0.0179092586983056
"342","NFLX",2017-05-11,-0.0108560394987275
"343","NFLX",2017-05-12,0.0143181853174423
"344","NFLX",2017-05-15,-0.00491259256156451
"345","NFLX",2017-05-16,-0.00381202340177433
"346","NFLX",2017-05-17,-0.0389561937405133
"347","NFLX",2017-05-18,0.0163185381785615
"348","NFLX",2017-05-19,0.00847788712545716
"349","NFLX",2017-05-22,0.000891606142106482
"350","NFLX",2017-05-23,0.00502667968880943
"351","NFLX",2017-05-24,-0.00126620451914283
"352","NFLX",2017-05-25,0.0335974833597465
"353","NFLX",2017-05-26,-0.00380257582699961
"354","NFLX",2017-05-30,0.00486368302681628
"355","NFLX",2017-05-31,-0.000918968258062924
"356","NFLX",2017-06-01,-0.000490599108148748
"357","NFLX",2017-06-02,0.013436333105211
"358","NFLX",2017-06-05,-0.000726449964191467
"359","NFLX",2017-06-06,0.000666424338621407
"360","NFLX",2017-06-07,0.00266394021509897
